Date,Open,High,Low,Close
"2017-05-14 00:00:00",1759.96,1761.56,1759.83,1761.87
"2017-05-14 00:15:00",1761.87,1770.66,1761.4,1768.38
"2017-05-14 00:30:00",1768.38,1772.05,1768.38,1771.44
"2017-05-14 00:45:00",1771.44,1772.17,1769.9,1773.2
"2017-05-14 01:00:00",1773.2,1780.23,1770.8,1779.22
"2017-05-14 01:15:00",1779.22,1783.4,1767.49,1782.61
"2017-05-14 01:30:00",1782.61,1784.84,1782.16,1784.2
"2017-05-14 01:45:00",1784.2,1784.23,1780.83,1781.6
"2017-05-14 02:00:00",1781.6,1782.29,1778.86,1779.88
"2017-05-14 02:15:00",1779.88,1780.02,1771.13,1769.71
"2017-05-14 02:30:00",1769.71,1769.71,1763.05,1761.83
"2017-05-14 02:45:00",1761.83,1761.83,1755.99,1759.59
"2017-05-14 03:00:00",1759.59,1773.13,1755.22,1773.41
"2017-05-14 03:15:00",1773.41,1775.67,1773.1,1772.99
"2017-05-14 03:30:00",1772.99,1774.37,1772.44,1775.09
"2017-05-14 03:45:00",1775.09,1776.04,1773.79,1774.8
"2017-05-14 04:00:00",1774.8,1777.04,1774.8,1774.42
"2017-05-14 04:15:00",1774.42,1774.42,1769.75,1765.36
"2017-05-14 04:30:00",1765.36,1766.37,1760.27,1761.05
"2017-05-14 04:45:00",1761.05,1762.27,1756.1,1760.25
"2017-05-14 05:00:00",1760.25,1768.76,1759.76,1770.16
"2017-05-14 05:15:00",1770.16,1771.25,1769.57,1770.7
"2017-05-14 05:30:00",1770.7,1771.28,1767.91,1770.24
"2017-05-14 05:45:00",1770.24,1775.62,1770.24,1775.01
"2017-05-14 06:00:00",1775.01,1775.45,1772.13,1771.48
"2017-05-14 06:15:00",1771.48,1772.03,1769.86,1769.91
"2017-05-14 06:30:00",1769.91,1770.26,1769.01,1769.44
"2017-05-14 06:45:00",1769.44,1775.1,1769.44,1776.39
"2017-05-14 07:00:00",1776.39,1780.92,1775.87,1780.91
"2017-05-14 07:15:00",1780.91,1784.07,1780.89,1784.31
"2017-05-14 07:30:00",1784.31,1785.87,1783.13,1786.35
"2017-05-14 07:45:00",1786.35,1791.36,1786.35,1791.22
"2017-05-14 08:00:00",1791.22,1791.4,1783.38,1782.82
"2017-05-14 08:15:00",1782.82,1787.31,1782.82,1785.53
"2017-05-14 08:30:00",1785.53,1785.57,1780.98,1780.64
"2017-05-14 08:45:00",1780.64,1782.25,1780.6,1782.29
"2017-05-14 09:00:00",1782.29,1784.3,1782.29,1783.61
"2017-05-14 09:15:00",1783.61,1784,1782.64,1782.46
"2017-05-14 09:30:00",1782.46,1787.51,1782.46,1788.41
"2017-05-14 09:45:00",1788.41,1791.66,1788.41,1791.98
"2017-05-14 10:00:00",1791.98,1793.73,1791.74,1792.94
"2017-05-14 10:15:00",1792.94,1792.94,1792.03,1792.11
"2017-05-14 10:30:00",1792.11,1792.11,1784.55,1784.25
"2017-05-14 10:45:00",1784.25,1784.25,1773.69,1773.54
"2017-05-14 11:00:00",1773.54,1773.54,1760.22,1771.02
"2017-05-14 11:15:00",1771.02,1799.65,1769.9,1776.77
"2017-05-14 11:30:00",1776.77,1777.56,1766.49,1770.31
"2017-05-14 11:45:00",1770.31,1775,1768.65,1767.39
"2017-05-14 12:00:00",1767.39,1769.28,1760.04,1762.79
"2017-05-14 12:15:00",1762.79,1765.2,1761.95,1761.82
"2017-05-14 12:30:00",1761.82,1762.24,1760.69,1760.74
"2017-05-14 12:45:00",1760.74,1768.91,1760.26,1769.23
"2017-05-14 13:00:00",1769.23,1770.34,1768.37,1770.51
"2017-05-14 13:15:00",1770.51,1774.92,1769.99,1774.7
"2017-05-14 13:30:00",1774.7,1777.4,1773.63,1777.76
"2017-05-14 13:45:00",1777.76,1778.03,1773.96,1774.27
"2017-05-14 14:00:00",1774.27,1775.16,1766.04,1768.07
"2017-05-14 14:15:00",1768.07,1770.18,1767.04,1770.42
"2017-05-14 14:30:00",1770.42,1771.35,1769.11,1771.26
"2017-05-14 14:45:00",1771.26,1772.21,1771.16,1771.89
"2017-05-14 15:00:00",1771.89,1773.03,1771.62,1772.33
"2017-05-14 15:15:00",1772.33,1772.52,1766.7,1765.53
"2017-05-14 15:30:00",1765.53,1768.23,1765.53,1766.49
"2017-05-14 15:45:00",1766.49,1766.71,1759.47,1756.43
"2017-05-14 16:00:00",1756.43,1762.61,1756.43,1760.84
"2017-05-14 16:15:00",1760.84,1760.84,1740.2,1745.98
"2017-05-14 16:30:00",1745.98,1750.58,1743.57,1747.18
"2017-05-14 16:45:00",1747.18,1747.23,1744.57,1743.37
"2017-05-14 17:00:00",1743.37,1745.26,1743.15,1745.51
"2017-05-14 17:15:00",1745.51,1755.22,1745.51,1751.31
"2017-05-14 17:30:00",1751.31,1751.31,1747.27,1747.02
"2017-05-14 17:45:00",1747.02,1747.02,1744.39,1745.42
"2017-05-14 18:00:00",1745.42,1747.21,1745.42,1747.27
"2017-05-14 18:15:00",1747.27,1749.46,1746.53,1749.49
"2017-05-14 18:30:00",1749.49,1753.22,1749.49,1753.56
"2017-05-14 18:45:00",1753.56,1754.87,1752.52,1751.99
"2017-05-14 19:00:00",1751.99,1755.31,1747.64,1755.66
"2017-05-14 19:15:00",1755.66,1755.66,1747.56,1746.59
"2017-05-14 19:30:00",1746.59,1747.82,1744.36,1746.69
"2017-05-14 19:45:00",1746.69,1746.69,1743.04,1743.85
"2017-05-14 20:00:00",1743.85,1755,1743.85,1754.22
"2017-05-14 20:15:00",1754.22,1767.45,1754.22,1768.84
"2017-05-14 20:30:00",1768.84,1772.03,1768.38,1769.01
"2017-05-14 20:45:00",1769.01,1769.84,1765.67,1766.05
"2017-05-14 21:00:00",1766.05,1767.1,1766.05,1766.71
"2017-05-14 21:15:00",1766.71,1767.03,1760.28,1761.16
"2017-05-14 21:30:00",1761.16,1762.77,1761.16,1760.89
"2017-05-14 21:45:00",1760.89,1768.49,1760.89,1768.35
"2017-05-14 22:00:00",1768.35,1768.42,1764.66,1765.2
"2017-05-14 22:15:00",1765.2,1767.77,1765.2,1766.63
"2017-05-14 22:30:00",1766.63,1768.08,1766.63,1767.75
"2017-05-14 22:45:00",1767.75,1768.21,1766.56,1766.02
"2017-05-14 23:00:00",1766.02,1767.59,1765.91,1767.22
"2017-05-14 23:15:00",1767.22,1767.22,1763.79,1766.37
"2017-05-14 23:30:00",1766.37,1767.99,1763.87,1768.13
"2017-05-15 00:00:00",1772.42,1773.49,1772.42,1772.78
"2017-05-15 00:15:00",1772.78,1773.36,1772.49,1772.59
"2017-05-15 00:30:00",1772.59,1772.59,1769.94,1769.72
"2017-05-15 00:45:00",1769.72,1770.77,1768.28,1769.4
"2017-05-15 01:00:00",1769.4,1771.54,1769.4,1770.3
"2017-05-15 01:15:00",1770.3,1770.3,1758.58,1763.07
"2017-05-15 01:30:00",1763.07,1764.56,1761.25,1761.86
"2017-05-15 01:45:00",1761.86,1764.08,1761.12,1761.64
"2017-05-15 02:00:00",1761.64,1761.67,1755.07,1755.54
"2017-05-15 02:15:00",1755.54,1756.53,1752.44,1752.85
"2017-05-15 02:30:00",1752.85,1753.21,1752.2,1754.26
"2017-05-15 02:45:00",1754.26,1754.26,1750.07,1749
"2017-05-15 03:00:00",1749,1752.98,1749,1753.41
"2017-05-15 03:15:00",1753.41,1758.11,1753.41,1758.28
"2017-05-15 03:30:00",1758.28,1758.28,1755.27,1755.49
"2017-05-15 03:45:00",1755.49,1755.49,1747.6,1747.04
"2017-05-15 04:00:00",1747.04,1747.04,1736.43,1736.37
"2017-05-15 04:15:00",1736.37,1739.54,1735.61,1738.88
"2017-05-15 04:30:00",1738.88,1738.88,1714.9,1714.49
"2017-05-15 04:45:00",1714.49,1720.51,1714.49,1718.65
"2017-05-15 05:00:00",1718.65,1720.56,1706.69,1721.62
"2017-05-15 05:15:00",1721.62,1725.34,1717.51,1724.63
"2017-05-15 05:30:00",1724.63,1724.63,1714.15,1714.59
"2017-05-15 05:45:00",1714.59,1720.4,1714.59,1721.23
"2017-05-15 06:00:00",1721.23,1724.63,1718.16,1725.84
"2017-05-15 06:15:00",1725.84,1726.68,1722.82,1724.72
"2017-05-15 06:30:00",1724.72,1729.35,1722.42,1728.67
"2017-05-15 06:45:00",1728.67,1731.28,1728.14,1731.5
"2017-05-15 07:00:00",1731.5,1733.71,1728.5,1728.44
"2017-05-15 07:15:00",1728.44,1729.92,1726.6,1726.16
"2017-05-15 07:30:00",1726.16,1727.6,1723.33,1724.18
"2017-05-15 07:45:00",1724.18,1724.63,1721.97,1721.26
"2017-05-15 08:00:00",1721.26,1721.26,1710.3,1708.14
"2017-05-15 08:15:00",1708.14,1708.14,1684.99,1692.15
"2017-05-15 08:30:00",1692.15,1702.96,1692.15,1700.56
"2017-05-15 08:45:00",1700.56,1700.56,1686.89,1687.35
"2017-05-15 09:00:00",1687.35,1690.99,1687.23,1685.86
"2017-05-15 09:15:00",1685.86,1685.86,1667.19,1676.99
"2017-05-15 09:30:00",1676.99,1692.48,1676.99,1692.29
"2017-05-15 09:45:00",1692.29,1699.84,1692,1699.32
"2017-05-15 10:00:00",1699.32,1710.38,1699.32,1708.13
"2017-05-15 10:15:00",1708.13,1711.8,1708.13,1709.87
"2017-05-15 10:30:00",1709.87,1710.07,1705.78,1703
"2017-05-15 10:45:00",1703,1705.45,1700.76,1702.67
"2017-05-15 11:00:00",1702.67,1708.23,1702.67,1704.62
"2017-05-15 11:15:00",1704.62,1706.28,1703.24,1706.2
"2017-05-15 11:30:00",1706.2,1718.61,1706.2,1718.26
"2017-05-15 11:45:00",1718.26,1718.79,1714.08,1714
"2017-05-15 12:00:00",1714,1714.46,1710.07,1711.15
"2017-05-15 12:15:00",1711.15,1711.27,1709.91,1710.6
"2017-05-15 12:30:00",1710.6,1710.74,1706.98,1707.41
"2017-05-15 12:45:00",1707.41,1707.41,1700.78,1703.12
"2017-05-15 13:00:00",1703.12,1703.12,1697.03,1696.31
"2017-05-15 13:15:00",1696.31,1700.49,1696.31,1700.19
"2017-05-15 13:30:00",1700.19,1703.1,1699.7,1704.38
"2017-05-15 13:45:00",1704.38,1704.38,1702.79,1702.92
"2017-05-15 14:00:00",1702.92,1705.7,1700.67,1698.33
"2017-05-15 14:15:00",1698.33,1698.6,1694.25,1697.99
"2017-05-15 14:30:00",1697.99,1698.21,1675.27,1676.42
"2017-05-15 14:45:00",1676.42,1684.34,1676.42,1678.08
"2017-05-15 15:00:00",1678.08,1678.08,1652.16,1662.67
"2017-05-15 15:15:00",1662.67,1663.64,1657.64,1657.2
"2017-05-15 15:30:00",1657.2,1662.61,1656.37,1663.71
"2017-05-15 15:45:00",1663.71,1669,1663.71,1669.11
"2017-05-15 16:00:00",1669.11,1670.84,1661.2,1660.32
"2017-05-15 16:15:00",1660.32,1681.02,1659.74,1681.44
"2017-05-15 16:30:00",1681.44,1684,1678.1,1684.02
"2017-05-15 16:45:00",1684.02,1685.09,1682.72,1682.69
"2017-05-15 17:00:00",1682.69,1684.27,1680.18,1686.46
"2017-05-15 17:15:00",1686.46,1698.73,1686.46,1699.07
"2017-05-15 17:30:00",1699.07,1699.07,1691.44,1692.41
"2017-05-15 17:45:00",1692.41,1692.76,1685.14,1685.14

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
